"VABC Liquor and Wines Price List Effective Date: April 01, 2017 - June 30, 2017",,,,,,
Description,Code,Brand,Size,Age,Proof,Price
STRAIGHT BOURBON WHISKEY,21878,Very Old Barton 86 Proof,1.75L,6YR,86,$23.99 
STRAIGHT BOURBON WHISKEY,21751,Virginia Gentleman,50ml,4YR,80,$1.49 
STRAIGHT BOURBON WHISKEY,21754,Virginia Gentleman,375ml,4YR,80,$6.49 
STRAIGHT BOURBON WHISKEY,21755,Virginia Gentleman,750ml,4YR,80,$13.99 
STRAIGHT BOURBON WHISKEY,21756,Virginia Gentleman,750ml,4YR,80,$13.99 
STRAIGHT BOURBON WHISKEY,21757,Virginia Gentleman,1L,4YR,80,$16.99 
STRAIGHT BOURBON WHISKEY,21758,Virginia Gentleman,1.75L,4YR,80,$27.99 
STRAIGHT BOURBON WHISKEY,21970,Wathen's Single Barrel Bourbon,750ml,,94,$39.99 
STRAIGHT BOURBON WHISKEY,27926,Whoop & Holler,750ml,,84,$189.99 
STRAIGHT BOURBON WHISKEY,22151,Wild Turkey 101,50ml,,101,$2.49 
STRAIGHT BOURBON WHISKEY,22153,Wild Turkey 101,200ml,,101,$9.49 
STRAIGHT BOURBON WHISKEY,22154,Wild Turkey 101,375ml,8YR,101,$13.99 
STRAIGHT BOURBON WHISKEY,22156,Wild Turkey 101,750ml,,101,$25.99 
STRAIGHT BOURBON WHISKEY,22157,Wild Turkey 101,1L,,101,$33.49 
STRAIGHT BOURBON WHISKEY,22158,Wild Turkey 101,1.75L,,101,$51.99 
STRAIGHT BOURBON WHISKEY,22121,Wild Turkey 81,750ml,,81,$23.99 
STRAIGHT BOURBON WHISKEY,22122,Wild Turkey 81,1L,,81,$29.99 
STRAIGHT BOURBON WHISKEY,22123,Wild Turkey 81,1.75L,,81,$46.99 
STRAIGHT BOURBON WHISKEY,22166,Wild Turkey Bourbon PET,750ml,,101,$25.99 
STRAIGHT BOURBON WHISKEY,22095,Wild Turkey Diamond,750ml,,91,$129.99 
STRAIGHT BOURBON WHISKEY,21946,Wild Turkey Kentucky Spirit,750ml,,101,$54.99 
STRAIGHT BOURBON WHISKEY,22099,Wild Turkey Masters 17yr,750ml,,86.8,$149.99 
STRAIGHT BOURBON WHISKEY,22097,Wild Turkey Masters Keep Decades,750ml,,104,$149.99 
STRAIGHT BOURBON WHISKEY,22199,Wild Turkey Rare Breed,750ml,,112.8,$44.99 
STRAIGHT BOURBON WHISKEY,22198,Wild Turkey Rare Breed,375ml,,112.8,$23.99 
STRAIGHT BOURBON WHISKEY,22204,Wild Turkey Rare Breed,375ml,,108,$23.99 
STRAIGHT BOURBON WHISKEY,22205,Wild Turkey Rare Breed,750ml,,108,$44.99 
STRAIGHT BOURBON WHISKEY,22175,Wild Turkey Russell Reserve 10 Yr,750ml,,90,$35.99 
STRAIGHT BOURBON WHISKEY,347,Wood Experiment Box Set 1,1L,,46,$99.99 
STRAIGHT BOURBON WHISKEY,348,Wood Experiment Box Set 2,1L,,46,$99.99 
STRAIGHT BOURBON WHISKEY,22215,Woodford Reserve Bourbon,750ml,,90.4,$36.99 
STRAIGHT BOURBON WHISKEY,22217,Woodford Reserve Bourbon,1L,,90.4,$45.99 
STRAIGHT BOURBON WHISKEY,22213,Woodford Reserve Bourbon,1.75L,,90.4,$69.99 
STRAIGHT BOURBON WHISKEY,22214,Woodford Reserve Bourbon,375ml,,90,$19.99 
STRAIGHT BOURBON WHISKEY,22209,Woodford Reserve Bourbon (plastic),50ml,,90.4,$3.49 
STRAIGHT BOURBON WHISKEY,22219,Woodford Reserve Derby,1L,,90.4,$45.99 
STRAIGHT BOURBON WHISKEY,22228,Woodford Reserve Double Oaked,750ml,,90.4,$56.99 
STRAIGHT BOURBON WHISKEY,22222,Woodford Reserve Master Collection Brandy Finish,750ml,,90.4,$99.99 
STRAIGHT BOURBON WHISKEY,22230,Woodford Reserve Master Collection Classic,750ml,,90.4,$99.99 
STRAIGHT BOURBON WHISKEY,22231,Woodford Reserve Master Collection Straight,750ml,,90.4,$99.99 
