whisky,meta_critic,stdev,count,cost,class,super_cluster,cluster,country,type,alt_brand
Highland Park Dark Origins,8.47,0.46,19,$$$$,SingleMalt-like,ABC,C,Scotland,Malt,dark highland origins park
Highland Park Einar,8.28,0.38,7,$$$,SingleMalt-like,I,I,Scotland,Malt,einar highland park
Highland Park Harald,8.29,0.41,12,$$$$,SingleMalt-like,GH,G,Scotland,Malt,harald highland park
Highland Park Sigurd,9.04,0.29,7,$$$$$,SingleMalt-like,I,I,Scotland,Malt,highland park sigurd
Highland Park Svein,8.24,0.31,10,$$$,SingleMalt-like,GH,G,Scotland,Malt,highland park svein
Highwood Ninety 5yo,8.15,0.7,6,$,Rye-like,,,Canada,Blend,5 highwood ninety
Highwood Ninety Rye 20yo,8.8,0.33,10,$$,Rye-like,,,Canada,Blend,20 highwood ninety rye
Hiram Walker Special Old Rye,8.2,0.36,9,$,Rye-like,,,Canada,Blend,hiram old rye special walker
Ichiro's Malt Chichibu The First,8.49,0.37,12,$$$$$+,SingleMalt-like,GH,G,Japan,Malt,chichibu first ichiro malt the
Ichiro's Malt Chichibu The Floor Malted,8.58,0.27,4,$$$$$+,SingleMalt-like,GH,G,Japan,Malt,chichibu floor ichiro malt malted the
Ichiro's Malt Chichibu The Peated,8.81,0.33,7,$$$$$+,SingleMalt-like,J,J,Japan,Malt,chichibu ichiro malt peated the
Ichiro's Malt Double Distilleries,8.67,0.27,6,$$$$$,SingleMalt-like,EF,E,Japan,Malt,distilleries double ichiro malt
Ichiro's Malt Mizunara Wood Reserve (MWR),8.23,0.54,7,$$$$$,SingleMalt-like,GH,H,Japan,Malt,ichiro malt mizunara mwr reserve wood
Ichiro's Malt The Joker,9.25,0.2,4,$$$$$+,SingleMalt-like,EF,F,Japan,Malt,ichiro joker malt the
Ileach Peated Islay,8.37,0.27,7,$$,SingleMalt-like,J,J,Scotland,Malt,ileach islay peated
